archive_name,family,variant_group,top_roots,production_child_roots,file_count,notes
ION_corpus_recovery_seeded.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2121,root_pyproject_present
ION_current_composer2_prepared.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2037,root_pyproject_present
ION_current_documented_and_prepared(1).zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2034,root_pyproject_present
ION_current_documented_and_prepared.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2034,root_pyproject_present
ION_current_orchestration_managed.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2043,root_pyproject_present
ION_current_with_pyproject(1).zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2031,root_pyproject_present
ION_current_with_pyproject(2).zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2031,root_pyproject_present
ION_current_with_pyproject.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2031,root_pyproject_present
ION_master_recovery_patched_branch.zip,master_recovery_bundle,master_recovery_line,ION|pyproject.toml,,2080,root_pyproject_present
ION_steward_fifth_pass_role_binding_aligned(1).zip,current_branch_or_variant,current_branch_line,.pytest_cache|ION|pyproject.toml,,2072,root_pyproject_present|cache_residue_present
ION_steward_fifth_pass_role_binding_aligned.zip,current_branch_or_variant,current_branch_line,.pytest_cache|ION|pyproject.toml,,2072,root_pyproject_present|cache_residue_present
ION_steward_second_pass_aligned(1).zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2062,root_pyproject_present
ION_steward_second_pass_aligned.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2062,root_pyproject_present
ION_steward_seventh_pass_routing_aligned.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2076,root_pyproject_present
ION_steward_sixth_pass_role_field_normalized(1).zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2071,root_pyproject_present
ION_steward_sixth_pass_role_field_normalized.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2071,root_pyproject_present
ION_steward_third_pass_teaching_aligned(1).zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2065,root_pyproject_present
ION_steward_third_pass_teaching_aligned.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2065,root_pyproject_present
ION_truename_template_aligned_C2(1).zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2056,root_pyproject_present
ION_truename_template_aligned_C2.zip,current_branch_or_variant,current_branch_line,ION|pyproject.toml,,2056,root_pyproject_present
